feature_a,feature_b,abs_corr
Avg Bwd Segment Size,Bwd Packet Length Mean,1.0000000000000002
SYN Flag Count,Fwd PSH Flags,1.0
ECE Flag Count,RST Flag Count,1.0
Avg Fwd Segment Size,Fwd Packet Length Mean,1.0
Subflow Fwd Packets,Total Fwd Packets,1.0
Subflow Bwd Bytes,Total Length of Bwd Packets,1.0
Subflow Bwd Packets,Total Backward Packets,1.0
Subflow Fwd Bytes,Total Length of Fwd Packets,1.0
Fwd Header Length.1,Fwd Header Length,1.0
Average Packet Size,Packet Length Mean,0.9994035406725285
Idle Max,Flow IAT Max,0.998178218979894
Fwd IAT Total,Flow Duration,0.9969112212056405
Fwd IAT Max,Flow IAT Max,0.9952448238871413
Idle Max,Fwd IAT Max,0.9936700619701507
Bwd Packet Length Std,Bwd Packet Length Max,0.9927621105657843
Fwd Packet Length Std,Fwd Packet Length Max,0.9919851058092785
Active Min,Active Mean,0.9865181671268095
Fwd IAT Max,Fwd IAT Std,0.9844284517741931
Fwd Packets/s,Flow Packets/s,0.9843716560038653
Packet Length Std,Max Packet Length,0.9830456330204875
Flow IAT Max,Flow IAT Std,0.9823773994005633
Idle Max,Flow IAT Std,0.980769691605668
Fwd IAT Std,Flow IAT Max,0.9755200765717985
Bwd Header Length,Total Backward Packets,0.9749864011347961
Subflow Bwd Packets,Bwd Header Length,0.9749864011347958
Idle Max,Fwd IAT Std,0.9740931247140542
Fwd IAT Max,Flow IAT Std,0.9735807603050102
Bwd IAT Max,Bwd IAT Std,0.9711832626358491
Fwd Header Length,Total Fwd Packets,0.9673654714131905
Fwd Header Length.1,Total Fwd Packets,0.9673654714131905
Subflow Fwd Packets,Fwd Header Length,0.9673654714131903
Subflow Fwd Packets,Fwd Header Length.1,0.9673654714131903
Total Length of Bwd Packets,Total Backward Packets,0.9607448216260179
Subflow Bwd Bytes,Total Backward Packets,0.9607448216260179
Subflow Bwd Packets,Total Length of Bwd Packets,0.9607448216260179
Subflow Bwd Bytes,Subflow Bwd Packets,0.9607448216260179
Bwd Packet Length Mean,Bwd Packet Length Max,0.9598771377345382
Avg Bwd Segment Size,Bwd Packet Length Max,0.9598771377345372
Bwd Packet Length Std,Bwd Packet Length Mean,0.9547648090164604
Avg Bwd Segment Size,Bwd Packet Length Std,0.9547648090164556
Idle Max,Idle Mean,0.9512317437164212
Active Max,Active Mean,0.9503948871311622
Fwd IAT Max,Fwd IAT Total,0.9495617990383374
